,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,BlkSizeMeanByte,BlkWghtMean,BlkWghtTot,CapAct1yrUSD,DiffLast,DiffMean,FeeTotNtv,FeeTotUSD,FlowInExNtv,FlowOutExNtv,FlowTfrFromExCnt,HashRate,IssContPctAnn,IssContPctDay,IssTotNtv,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,Close,RevHashRateUSD,RevNtv,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyExpFut10yr,SplyFF,SplyMiner0HopAllNtv,SplyMiner0HopAllUSD,SplyMiner1HopAllNtv,SplyMiner1HopAllUSD,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,VelCur1yr,Open,Gsearch_scaled,High,Low,DXY,Twitter,FG,Git,Rate,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,FeeByteMeanNtv,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FlowInExUSD,FlowOutExUSD,HashRate30d,IssContNtv,IssContUSD,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,RevAllTimeUSD,RevHashNtv,RevHashRateNtv,RevHashUSD,RevUSD,SER,SplyAdrBalNtv1M,TxTfrValAdjUSD,TxTfrValMeanUSD,TxTfrValMedUSD,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-01-01,695722.0,9459.0,2275567.0,16249004.0,1024.0,472069.0,6950873.0,46.0,99599.0,39802613.0,19248990.0,9362423.0,3296314.0,16076.0,3.0,147361.0,89.0,814355.0,2153.0,695167.186,1865179.308,320810841.0,386559955817.0,24272331996980.0,24272331996980.0,9.18982843,437068.3263,12383.29904,13325.38287,6239.0,207532476.1,2.074176777,0.0056826761,1075.0,0.346336607,192.2345348,50.51179024,147.6845395,38.80577695,47560.00938,0.2484626954,1084.189828,16482295.74,4617950.022,296377.4276,8127835.987,10427739.76,1783054.768,11757382.63,13338073.49,14512021.0,783582.8574,3459542.316,17138920.53,42.96545016,11092459.78,18543011.95,18906197.25,6551699.395,17485358.12,18841743.69,2184076.472,15590280.62,18910243.34,18872737.68,18676601.74,17904471.56,16200848.98,11916674.36,553879.2454,2733567.845,7916768.979,18914480.29,18913677.06,18905094.15,17350446.95,18509062.42,10859439.67,18834296.04,15428188.68,2842585.373,18734267.05,17336501.03,18917143.79,20644337.5,14533130.96,1800809.611,85646521991.0,2607494.079,124012442850.0,188065.0,2.176678241,613750.0,98406.58345,0.4468974953,0.00211528,14.54553415,46311.74609,0.4,47827.3125,46288.48438,95.989998,93876.0,21.0,632.0,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-01-02,734444.0,9448.0,2276079.0,16262218.0,1024.0,472310.0,6952549.0,46.0,99650.0,39837832.0,19266850.0,9366980.0,3297368.0,16072.0,3.0,147548.0,89.0,814666.0,2152.0,785150.8861,2096019.892,331171143.0,384198800021.0,24272331996980.0,24272331996980.0,9.17683366,434546.5459,9313.194195,8451.168414,6636.0,190640298.2,1.905248973,0.0052198602,987.5,0.3464067931,141.4961383,50.66294357,108.6964638,38.91896186,47352.55776,0.2475614956,996.6768337,16482477.07,4614998.372,150607.0581,8113580.728,10427507.47,1751091.4,11756831.87,13325541.77,14510173.06,741726.2712,3458323.422,17139724.76,42.88785506,11088618.46,18543824.31,18907176.01,6553369.191,17485994.29,18842647.31,2184540.612,15589252.64,18911227.32,18873677.68,18677480.47,17905182.73,16201624.72,11913560.41,553879.2455,2734174.392,7917199.016,18915467.59,18914660.02,18906030.97,17348870.66,18508911.0,10851563.51,18834950.87,15423316.36,2843191.919,18735312.95,17337376.1,18918131.29,20644584.38,14532792.18,1800715.041,85268463003.0,2606787.947,123438076826.0,194826.0,2.254930556,622592.0,133700.6898,0.6192776534,0.00210302,14.52755618,47680.92578,0.4,47881.40625,46856.9375,95.989998,114214.0,26.0,631.0,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-01-03,948843.0,9446.0,2277570.0,16262347.0,1024.0,472612.0,6960350.0,46.0,99664.0,39811331.0,19258080.0,9378154.0,3300225.0,16075.0,3.0,147628.0,88.0,815044.0,2147.0,1214536.443,3161796.243,442651474.0,375955797861.0,24272331996980.0,24272331996980.0,11.99030933,556991.0233,13245.43551,11640.13143,9300.0,168921783.1,1.688117189,0.0046249786,875.0,0.3464955433,63.5880576,49.94847145,48.84547184,38.36815823,46453.43235,0.2439220304,886.9903093,16482672.02,4614874.609,277825.4664,8093175.872,10427216.83,1750976.36,11756942.37,13320673.58,14509788.47,779463.0965,3468336.741,17140634.9,42.77801776,11086359.91,18544306.9,18908079.05,6555351.363,17485970.69,18843525.9,2183915.077,15588136.39,18912119.18,18874602.77,18678142.04,17905255.04,16200957.53,11911586.02,554335.2455,2722561.315,7913353.887,18916341.8,18915518.24,18906764.73,17339901.39,18505250.41,10830605.95,18834783.7,15409147.34,2841445.545,18735613.17,17336128.78,18919006.29,20644803.13,14532725.54,1800662.43,83646950367.0,2609230.413,121207708483.0,241163.0,2.791238426,756928.0,297524.5196,0.8679933058,0.00251071,14.53206248,47343.54297,0.4,47510.72656,45835.96484,95.669998,157281.0,51.0,631.0,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-01-04,971141.0,9445.0,2277970.0,16269551.0,1022.0,472491.0,6963321.0,46.0,99649.0,39825697.0,19268462.0,9382446.0,3300953.0,16067.0,4.0,147638.0,88.0,814914.0,2152.0,1193338.993,3181014.993,467609204.0,370971113853.0,24272331996980.0,24272331996980.0,13.19630276,605788.9615,23462.57972,23042.94721,10772.0,177367872.1,1.772437007,0.0048559918,918.75,0.3463282016,71.68966306,49.95821365,55.066382,38.3739853,45905.96112,0.2412042848,931.9463028,16482932.95,4618472.418,382708.3724,8081109.834,10427628.26,1749133.439,11755620.82,13316465.32,14509211.12,825809.3978,3471902.414,17141270.53,42.71216623,11088380.99,18545049.18,18908995.2,6552503.613,17486487.73,18844409.9,2198658.428,15588476.21,18913039.01,18875502.94,18678931.55,17905738.09,16201890.81,11912599.26,671308.3819,2734114.709,7920495.466,18917260.06,18916426.7,18907576.79,17335474.53,18503105.02,10818993.37,18835048.24,15402256.51,2852998.938,18736454.57,17337215.57,18919925.04,20645032.81,14532803.97,1800723.917,82663962138.0,2604879.022,119579475103.0,274049.0,3.171863426,812283.0,263914.2693,0.6703705597,0.00265,14.52252782,46458.85156,0.4,47406.54688,45752.46484,96.190002,152831.0,50.0,633.0,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-01-05,1023484.0,9439.0,2279115.0,16285913.0,1023.0,472612.0,6971358.0,48.0,99707.0,39839752.0,19278681.0,9391841.0,3303101.0,16077.0,4.0,147631.0,87.0,815316.0,2147.0,1235672.607,3243297.567,486494635.0,350890169823.0,24272331996980.0,24272331996980.0,16.5224742,719238.8998,23602.3035,22064.28786,11746.0,180987625.8,1.808519557,0.0049548481,937.5,0.3464636657,44.51924742,47.4920017,34.19264509,36.47584478,43530.94404,0.2294604327,954.0224742,16483605.49,4626746.027,405658.0204,8060706.644,10430258.12,1748274.914,11758749.64,13315791.7,14509615.18,824142.5825,3472640.101,17142143.41,42.60221555,11084567.84,18545559.95,18909944.41,6555391.395,17486366.39,18845302.87,2238246.899,15588809.88,18913980.67,18876416.75,18679581.38,17906001.87,16201363.09,11911366.72,671487.3819,2726744.757,7916332.743,18918194.69,18917318.59,18908056.01,17310629.79,18491298.7,10757385.29,18833095.98,15362618.18,2855495.688,18737065.32,17337142.75,18920862.54,20645267.19,14532014.24,1800782.583,78389765841.0,2604827.908,113390617891.0,274757.0,3.18005787,863952.0,425004.0968,0.9991577234,0.00255178,14.53236977,45899.35938,0.4,46929.04688,42798.22266,96.309998,149229.0,22.0,632.0,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-01-06,937879.0,9431.0,2277643.0,16278923.0,1027.0,472277.0,6964841.0,48.0,99621.0,39842296.0,19276560.0,9383451.0,3301276.0,16065.0,4.0,147424.0,88.0,814837.0,2145.0,1191828.808,3195001.096,466470160.0,347068622903.0,24272331996980.0,24272331996980.0,14.40247818,621394.4212,26047.20825,24996.72834,12887.0,176161288.7,1.7602075,0.0048224863,912.5,0.3471285927,56.88403249,47.31432455,43.68791413,36.33821404,43144.96529,0.2270145475,926.9024782,16483202.94,4643028.231,417384.5774,8044243.878,10431789.87,1748021.609,11760466.53,13313155.5,14509463.21,845274.7087,3479983.303,17142963.39,42.51315672,11090236.22,18546709.99,18910848.68,6568289.142,17488101.7,18846234.18,2237553.224,15591997.89,18914891.82,18877322.65,18680689.31,17907566.83,16203136.65,11916587.65,671487.3823,2739840.692,7922270.019,18919106.71,18918222.87,18908870.07,17307578.74,18490143.81,10755304.62,18833543.77,15356143.63,2858724.921,18738306.03,17339641.32,18921775.04,20645495.31,14532248.28,1800889.29,77699305929.0,2603438.533,112325265164.0,258406.0,2.990810185,792740.0,332637.723,0.9104006214,0.0026314,14.53008242,43565.51172,0.4,43748.71875,42645.53906,96.199997,174937.0,17.0,632.0,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-01-07,961733.0,9436.0,2276952.0,16272974.0,1022.0,472095.0,6963783.0,47.0,99653.0,39827558.0,19265786.0,9382871.0,3300691.0,16053.0,4.0,147588.0,88.0,814594.0,2145.0,1255592.15,3358000.743,470120104.0,333202123542.0,24272331996980.0,24272331996980.0,14.27397318,592552.3737,27582.63696,23289.89484,12594.0,168921783.1,1.687792157,0.0046240881,875.0,0.346833897,48.24043049,45.3509935,37.04777611,34.82874088,41512.78458,0.2185404286,889.2739732,16483817.31,4649418.738,425392.7128,8026494.173,10433325.57,1750550.32,11761931.39,13258821.0,14509674.31,798908.0915,3483025.562,17143874.51,42.41738951,11091136.21,18547577.66,18911736.53,6563016.455,17489238.8,18847118.84,2227607.402,15593172.79,18915774.16,18878214.4,18681571.85,17908660.93,16205949.06,11915225.64,672354.3823,2745993.737,7921234.164,18919979.93,18919063.23,18909413.09,17291831.64,18482001.59,10718055.6,18832322.77,15323659.31,2864877.967,18739130.34,17340844.43,18922650.04,20645714.06,14532252.2,1800875.233,74759345623.0,2607291.744,108235940496.0,255659.0,2.959016204,802417.0,392257.0725,0.937581225,0.00277872,14.5227988,43153.57031,0.4,43153.57031,41077.44531,96.260002,179285.0,11.0,635.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-01-08,823193.0,9438.0,2276770.0,16287570.0,1023.0,472086.0,6966296.0,47.0,99713.0,39868312.0,19284920.0,9387984.0,3300726.0,16056.0,4.0,147581.0,88.0,814578.0,2142.0,1035548.542,2730552.0,393199488.0,334235143492.0,24371874614346.0,24344915155476.0,9.80082014,409672.448,13842.55576,13148.28857,8759.0,174267690.7,1.735932226,0.0047559787,900.0,0.3470778512,97.00829606,45.76917402,74.49594643,35.14769431,41799.81288,0.2182246399,909.8008201,16483774.21,4643357.976,334989.393,7996091.858,10431934.04,1728313.824,11762724.24,13257145.88,14509228.88,739000.429,3475215.099,17144687.57,42.25471352,11091113.01,18548247.15,18912623.9,6567945.086,17489974.33,18847929.84,2228238.189,15594687.14,18916667.85,18879062.34,18682274.51,17909395.29,16206522.76,11915166.45,672630.3823,2746777.455,7921007.649,18920880.31,18919969.97,18910376.82,17296704.26,18484894.65,10724948.63,18833584.44,15335575.91,2865661.684,18740108.21,17342464.63,18923550.04,20645939.06,14532033.11,1800939.229,75278922793.0,2604524.769,108868648019.0,226064.0,2.616481481,718333.0,195071.461,0.5722361062,0.00238572,14.50002029,41561.46484,0.4,42228.94141,40672.27734,96.260002,146927.0,33.0,636.0,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-01-09,734904.0,9430.0,2277248.0,16312855.0,1022.0,472004.0,6969752.0,47.0,99709.0,39931612.0,19323738.0,9394853.0,3301315.0,16051.0,4.0,147558.0,88.0,814550.0,2145.0,903058.1206,2434399.099,343250273.0,333122839951.0,24371874614346.0,24371874614346.0,7.54621252,316084.4198,9119.369587,10539.31323,7403.0,170826077.2,1.699687799,0.0046566789,881.25,0.3470672136,164.5386061,46.33427609,126.3534277,35.58128235,41886.49856,0.2179325421,888.7962125,16484138.07,4642914.041,231393.7196,7952988.467,10430344.14,1700704.369,11763101.11,13254007.71,14509501.63,740508.4113,3469489.34,17145494.7,42.02498001,11091005.22,18548847.76,18913477.41,6568049.638,17490286.13,18848666.06,2228597.271,15595712.21,18917539.06,18879843.45,18682896.32,17909782.2,16207160.76,11915839.88,672630.3823,2746702.655,7926283.578,18921761.62,18920852.3,18911240.26,17297946.61,18485956.68,10729297.05,18834421.27,15338086.25,2865586.884,18741121.13,17344317.56,18924431.29,20646159.38,14532557.53,1801055.082,75439891075.0,2607157.317,109204691182.0,203966.0,2.360717593,655499.0,115015.1429,0.3952796584,0.00231105,14.48668354,41734.72656,0.4,42663.94922,41338.16016,96.260002,139164.0,20.0,637.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-01-10,977953.0,9430.0,2277429.0,16304455.0,1024.0,471905.0,6973908.0,47.0,99675.0,39917255.0,19310915.0,9395109.0,3302287.0,16049.0,4.0,147487.0,87.0,814571.0,2144.0,1299994.387,3405846.732,483630236.0,330402763074.0,24371874614346.0,24371874614346.0,11.51428992,481492.498,20758.56156,18442.86975,11841.0,172037608.9,1.711662062,0.0046894851,887.5,0.347107367,65.70699536,46.54124165,50.4573732,35.73970757,41816.95106,0.2185221987,899.0142899,16483615.92,4644305.353,303683.4623,7901168.18,10433240.87,1697966.576,11763671.92,13252321.26,14508559.35,769301.4416,3463696.296,17146445.73,41.74919465,11091858.19,18549587.53,18914376.23,6569117.575,17490753.41,18849658.19,2229199.02,15596540.06,18918432.35,18880786.15,18683741.07,17910359.98,16207367.69,11916864.15,672630.3823,2730881.432,7925106.305,18922649.0,18921737.93,18912130.93,17297785.59,18486372.18,10727797.17,18835334.9,15338163.12,2859632.363,18741813.45,17344675.53,18925318.79,20646381.25,14533032.11,1800985.042,75311703341.0,2606389.819,108991275477.0,269292.0,3.116805556,803219.0,288025.9353,0.7259067383,0.00287171,14.48931469,41910.23047,0.4,42199.48438,39796.57031,95.739998,163362.0,20.0,635.0,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
